Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
17001,Valkyria Revolution,PSV,2017,Role-Playing,Sega  ,Media.Vision  ,,,,,0.05,,0.05
17002,Famicom Mini: Dig Dug,GBA,2004,Puzzle,Namco  ,Namco  ,,,,,0.05,0.0,0.05
17003,FIFA Soccer 2003,GBA,2002,Sports,EA Sports  ,Exient Entertainment  ,6.9,,0.04,0.01,,0.0,0.05
17004,Naval Ops: Commander,PS2,2004,Simulation,KOEI  ,Micro Cabin  ,,,0.03,0.02,,0.01,0.05
17005,Match 3 Madness,DS,2011,Puzzle,Unknown  ,Most Wanted Entertainment  ,,,,0.05,,0.01,0.05
17006,Lernerfolg Vorschule: Capt'n Sharky,DS,2009,Misc,Tivola  ,Tivola  ,,,,0.05,,0.01,0.05
17007,Defendin' De Penguin,Wii,2008,Strategy,Crave Entertainment  ,Crave Entertainment  ,,,0.05,0.0,,0.0,0.05
17008,Bleach: Blade Battlers,PS2,2006,Fighting,Sony Computer Entertainment  ,Racjin  ,,,,,0.05,,0.05
17009,Rez,PS2,2002,Shooter,Sega  ,United Game Artists  ,9.0,,0.03,0.02,,0.01,0.05
17010,MLB SlugFest 2006,XB,2006,Sports,Midway Games  ,Blue Shift  ,,,0.04,0.01,,0.0,0.05
17011,Baja: Edge of Control HD,XOne,2017,Racing,THQ Nordic  ,2XL Games  ,,,0.05,,,0.01,0.05
17012,Owlboy,NS,2018,Platform,Soedesco  ,D-Pad Studios  ,9.0,,0.03,0.01,,0.01,0.05
17013,Jissen Pachislot Hisshouhou! Hokuto no Ken DS SE,DS,2006,Misc,Sega  ,Sammy Studios  ,,,,,0.05,,0.05
17014,Lufia: The Ruins of Lore,GBA,2003,Role-Playing,Atlus  ,Atelier Double  ,,,0.04,0.01,,0.0,0.05
17015,UEFA Euro 2004: Portugal,XB,2004,Sports,EA Sports  ,EA Canada  ,,,0.04,0.01,,0.0,0.05
17016,Activision Hits: Remixed,PSP,2006,Misc,Activision  ,Digital Eclipse Software  ,7.4,,0.05,0.0,,0.0,0.05
17017,Samurai Deeper Kyo,PS,2002,Fighting,Bandai  ,Bandai  ,,,,,0.05,0.0,0.05
17018,Shaman King: Soul Fight,GC,2003,Platform,Bandai  ,Tuning Electronic  ,,,,,0.05,0.0,0.05
17019,Medabots: Infinity,GC,2003,Role-Playing,Natsume  ,"Imagineer Co., Ltd.  ",5.4,,0.04,0.01,,0.0,0.05
17020,Dungeon Keeper 2,PC,1999,Strategy,Electronic Arts  ,Bullfrog Productions  ,,,,0.05,,0.01,0.05
17021,Doraemon: Shin Nobita no Nihon Tanjou,3DS,2016,Misc,FuRyu Corporation  ,Unknown  ,,,,,0.05,,0.05
17022,Airline Tycoon 2,PC,2011,Simulation,Kalypso  ,Kalypso Media  ,,,0.0,0.04,,0.01,0.05
17023,Zapper: One Wicked Cricket!,XB,2002,Platform,Infogrames  ,Blitz Games  ,5.2,,0.04,0.01,,0.0,0.05
17024,Jirou Akagawa: Majotachi no Nemuri,SNES,1995,Adventure,Pack-In-Video  ,Pack-In-Video  ,,,,,0.05,0.0,0.05
17025,Touch 'N' Play Collection,DS,2011,Misc,O-Games  ,O-Games  ,,,0.03,0.01,,0.0,0.05
17026,Bust-A-Bloc,PS2,2003,Puzzle,Midas Interactive Entertainment  ,D3 Publisher  ,,,,,0.05,,0.05
17027,Demon Gaze 2,PSV,2017,Role-Playing,NIS America  ,Experience Inc.  ,,,0.01,0.0,0.04,0.0,0.05
17028,Sitting Ducks,PS2,2004,Platform,Hip Interactive  ,Asobo Studio  ,,,0.03,0.02,,0.01,0.05
17029,Puyo Puyo 7,Wii,2009,Puzzle,Sega  ,Sega  ,,,,,0.05,,0.05
17030,Haikyu!! Cross Team Match!,3DS,2016,Action,Bandai Namco Games  ,Bandai Namco Games  ,,,,,0.05,,0.05
17031,Pawly Pets: My Vet Practice,DS,2007,Strategy,Ubisoft  ,DTP Entertainment  ,,,,0.05,,0.0,0.05
17032,Mighty No. 9,WiiU,2016,Platform,Deep Silver  ,Comcept  ,,,0.03,0.01,,0.01,0.05
17033,NFL Blitz Pro,XB,2003,Sports,Midway Games  ,Point of View  ,,,0.04,0.01,,0.0,0.05
17034,Black Mirror,PS4,2017,Adventure,THQ Nordic  ,KING Art Games  ,,,0.04,,,0.01,0.05
17035,Pretty Cure All Stars Everyone Gather? Let's Dance!,Wii,2013,Music,Namco Bandai Games  ,Bandai Namco Games  ,,,,,0.05,,0.05
17036,F1 2010,PC,2010,Racing,Codemasters  ,Codemasters Birmingham  ,8.0,,,0.05,,0.01,0.05
17037,Mountain Bike Adrenaline,PS2,2007,Sports,Valcon Games  ,Fresh 3D  ,,,0.03,0.02,,0.01,0.05
17038,LEGO Harry Potter: Years 1-4,PC,2010,Adventure,Warner Bros. Interactive  ,Telltale Games  ,8.2,,0.04,0.01,,0.01,0.05
17039,Zyuden Sentai Kyoryuger: Game on Gaburincho,3DS,2013,Action,Namco Bandai Games  ,Bandai Namco Games  ,,,,,0.05,,0.05
17040,Medal of Honor: Airborne,PC,2007,Shooter,Electronic Arts  ,EA Los Angeles  ,,,0.0,0.04,,0.01,0.05
17041,"Murder, She Wrote",PC,2009,Adventure,Legacy Interactive  ,Legacy Interactive  ,,,,0.04,,0.01,0.05
17042,Hi-Octane: The Track Fights Back!,PS,1996,Racing,Electronic Arts  ,Bullfrog Productions  ,,,0.03,0.02,,0.0,0.05
17043,Mister Slime,DS,2008,Action,SouthPeak Interactive  ,Lexis Numerique  ,,,0.05,,,0.0,0.05
17044,Black Sigil: Blade of the Exiled,DS,2009,Role-Playing,Graffiti  ,Studio Archcraft  ,6.0,,0.05,,,0.0,0.05
17045,Learn Science,DS,2010,Misc,DreamCatcher Interactive  ,DreamCatcher Interactive  ,,,0.05,,,0.0,0.05
17046,Touhou Genso Wanderer,PS4,2017,Action,NIS America  ,AQUA STYLE  ,,,0.04,,,0.01,0.05
17047,Mirror's Edge,PC,2009,Platform,Electronic Arts  ,EA Digital Illusions CE  ,,,,0.05,,0.01,0.05
17048,Wakeboarding Unleashed Featuring Shaun Murray,XB,2003,Sports,Activision  ,Shaba Games  ,,,0.04,0.01,,0.0,0.05
17049,The Lost Chronicles of Zerzura,PC,2012,Adventure,Unknown  ,Cranberry Production  ,,,,0.05,,0.0,0.05
17050,Domino Rally,Wii,2009,Action,UFO Interactive  ,RED Entertainment  ,,,0.05,0.0,,0.0,0.05
17051,Doraemon 2: Nobita no Toizurando Daibouken,SNES,1993,Role-Playing,Epoch  ,SAS Sakata  ,,,,,0.05,0.0,0.05
17052,Samurai Champloo: Sidetracked,PS2,2006,Action,Namco Bandai  ,Grasshopper Manufacture  ,,,0.03,0.02,,0.01,0.05
17053,Zone of the Enders HD Edition,PS3,2013,Simulation,Konami  ,High Voltage Software  ,,,,,0.05,,0.05
17054,Drill Dozer,GBA,2006,Platform,Nintendo  ,Game Freak  ,7.9,,0.04,0.01,,0.0,0.05
17055,Katekyoo Hitman Reborn! DS: Shinuki Max! Vongola Carnival!!,DS,2007,Action,Takara Tomy   ,Takara Tomy  ,,,,,0.05,,0.05
17056,Death Jr. II: Root of Evil,PSP,2006,Platform,Konami  ,Backbone Entertainment  ,6.9,,0.05,0.0,,0.0,0.05
17057,Fatal Fury: Wild Ambition,PS,1999,Fighting,SNK  ,SNK Corporation  ,,,0.03,0.02,,0.0,0.05
17058,Metal Fight Beyblade: Bakugami Susanoh Shuurai!,DS,2010,Action,Hudson Soft  ,Hudson Soft  ,,,,,0.05,,0.05
17059,Rockin' Pretty,DS,2009,Misc,Aksys Games  ,Arc System Works  ,,,0.05,,,0.0,0.05
17060,Centipede: Infestation,Wii,2011,Shooter,Atari  ,WayForward Technologies  ,,,0.05,,,0.0,0.05
17061,Countdown: The Game,Wii,2009,Puzzle,Mindscape  ,Mindscape  ,,,,0.05,,0.0,0.05
17062,Dengeki Gakuen RPG: Cross of Venus,DS,2009,Role-Playing,ASCII Media Works  ,ASCII Media Works  ,,,,,0.05,,0.05
17063,The Sims 2: University,PC,2005,Simulation,Electronic Arts  ,Maxis  ,,,0.01,0.04,,0.0,0.05
17064,Judge Dredd,PS,1998,Shooter,Activision  ,Gremlin Interactive  ,,,0.03,0.02,,0.0,0.05
17065,Minna no Ennichi,3DS,2012,Action,Namco Bandai Games  ,Bandai Namco Games  ,,,,,0.05,,0.05
17066,Sled Shred featuring the Jamaican Bobsled Team,Wii,2010,Sports,SouthPeak Interactive  ,Just For Fun Studios  ,,,0.05,,,0.0,0.05
17067,Rhapsody: A Musical Adventure,DS,2008,Role-Playing,NIS America  ,Nippon Ichi Software  ,6.7,,0.05,0.0,,0.0,0.05
17068,King Arthur,XB,2004,Adventure,Konami  ,Krome Studios  ,6.5,,0.04,0.01,,0.0,0.05
17069,Bass Rise,PS,1999,Sports,Bandai  ,Bandai  ,,,0.03,0.02,,0.0,0.05
17070,Dynamite Headdy,GEN,1994,Platform,Sega  ,"Treasure Co., Ltd.  ",,,,,0.05,0.0,0.05
17071,Choujikuu Yousai Macross: Ai Oboete Imasu ka,PS3,2012,Action,Namco Bandai Games  ,Scarab  ,,,,,0.05,,0.05
17072,Arcania: Gothic 4,PS4,2015,Role-Playing,Nordic Games  ,Spellbound Entertainment AG  ,,,0.04,,,0.01,0.05
17073,Pools of Darkness,PC,1991,Role-Playing,SSI  ,SSI  ,,,,,,,
17074,The Long Dark,XOne,2018,Simulation,Skybound Games  ,Hinterland Studio Inc.  ,,,0.05,,,0.01,0.05
17075,Jake Power: Policeman,DS,2009,Adventure,Ubisoft  ,Magic Pockets  ,,,0.05,0.0,,0.0,0.05
17076,Sega 3D Classics Collection,3DS,2016,Misc,Sega  ,M2  ,7.0,,0.05,,,0.01,0.05
17077,Dragon's Lair 3D: Return to the Lair,XB,2002,Platform,Ubisoft  ,Dragonstone Software  ,,,0.04,0.01,,0.0,0.05
17078,UEFA Champions League 2006-2007,X360,2007,Sports,EA Sports  ,EA Canada  ,,,0.04,0.01,,0.0,0.05
17079,Animal Planet: Vet Collection,DS,2010,Simulation,Activision  ,Activision  ,,,0.05,,,0.0,0.05
17080,Growlanser: Heritage of War (jp sales),PS2,2007,Role-Playing,Atlus  ,Career Soft  ,,,,,0.05,,0.05
17081,Myst IV: Revelation,XB,2005,Adventure,Ubisoft  ,Ubisoft Montreal  ,,,0.04,0.01,,0.0,0.05
17082,Jewel Legends: Tree of Life,DS,2011,Puzzle,Rising Star   ,Rising Star Games  ,,,,0.05,,0.01,0.05
17083,Pachinko Wars II,SNES,1993,Misc,Coconuts Japan   ,Coconuts Japan  ,,,,,0.05,,0.05
