Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
63001,Sniper Elite 5,XS,N/A,Shooter,Unknown  ,Rebellion Developments  ,,,,,,,
63002,Sniper Elite 5,XOne,N/A,Shooter,Unknown  ,Rebellion Developments  ,,,,,,,
63003,Sniper Elite 5,PS5,N/A,Shooter,Unknown  ,Rebellion Developments  ,,,,,,,
63004,Sniper Elite 5,PS4,N/A,Shooter,Unknown  ,Rebellion Developments  ,,,,,,,
63005,Sniper Elite 5,PC,N/A,Shooter,Unknown  ,Rebellion Developments  ,,,,,,,
63006,Sniper Elite III: Ultimate Edition,NS,2019,Shooter,Rebellion  ,Rebellion Developments  ,,,,,,,
63007,Sniper Elite III: Ultimate Edition,PS4,2015,Shooter,Rebellion  ,Rebellion Developments  ,,,,,,,
63008,Sniper Elite III: Ultimate Edition,PS3,2015,Shooter,Rebellion  ,Rebellion Developments  ,,,,,,,
63009,Sniper Elite III: Ultimate Edition,X360,2015,Shooter,Rebellion  ,Rebellion Developments  ,,,,,,,
63010,Sniper Elite III: Ultimate Edition,XOne,2015,Shooter,Rebellion  ,Rebellion Developments  ,,,,,,,
63011,Sniper Elite V2 Remastered,NS,2019,Shooter,U&I Entertainment  ,Rebellion Games  ,,,,,,,
63012,Sniper Elite V2 Remastered,PS4,2019,Shooter,U&I Entertainment  ,Rebellion Games  ,,,,,,,
63013,Sniper Elite V2 Remastered,XOne,2019,Shooter,U&I Entertainment  ,Rebellion Games  ,,,,,,,
63014,Sniper Elite V2 Remastered,PC,2019,Shooter,Rebellion  ,Rebellion Games  ,,,,,,,
63015,Sniper Elite VR,PS4,N/A,Shooter,Unknown  ,Coatsink Software  ,,,,,,,
63016,Sniper Elite VR,PC,N/A,Shooter,Unknown  ,Coatsink Software  ,,,,,,,
63017,Sniper Elite: Resistance,XS,N/A,Shooter,Unknown  ,Rebellion Developments  ,,,,,,,
63018,Sniper Elite: Resistance,XOne,N/A,Shooter,Unknown  ,Rebellion Developments  ,,,,,,,
63019,Sniper Elite: Resistance,PS5,N/A,Shooter,Unknown  ,Rebellion Developments  ,,,,,,,
63020,Sniper Elite: Resistance,PS4,N/A,Shooter,Unknown  ,Rebellion Developments  ,,,,,,,
