Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
16704,F1 2015,PC,2015,Racing,Codemasters  ,Codemasters Birmingham  ,,,,0.06,,0.0,0.06
16705,Call of Duty: The War Collection,X360,2010,Shooter,Activision  ,Infinity Ward  ,,,0.05,,,0.0,0.06
16706,Jumper: Griffin's Story,X360,2008,Action,Brash Entertainment  ,RedTribe Studios  ,,,0.05,0.0,,0.0,0.06
16707,Raw Danger! (JP sales),PS2,2007,Action,Agetec  ,Irem Software Engineering  ,,,,,0.06,,0.06
16708,Archer Maclean Presents: Pool Paradise,PS2,2004,Sports,Ignition Entertainment  ,Awesome Developments  ,,,0.03,0.02,,0.01,0.06
16709,Kamen Rider: Battride War Genesis,PS3,2016,Action,Namco Bandai Games  ,Unknown  ,,,,,0.06,,0.06
16710,Tabi no Yubisashi Kaiwachou DS: DS Series 3 Kankoku,DS,2006,Misc,Nintendo  ,TOSE  ,,,,,0.06,,0.06
16711,Pro Evolution Soccer 2011,PC,2010,Sports,Konami  ,Konami  ,6.0,,,0.05,,0.01,0.06
16712,Backyard Skateboarding 2006,GBA,2004,Sports,Atari  ,Humongous Entertainment  ,,,0.04,0.02,,0.0,0.06
16713,Brave: A Warrior's Tale,X360,2009,Action,SouthPeak Interactive  ,Collision Studios  ,4.4,,0.05,0.01,,0.0,0.06
16714,Tron 2.0: Killer App,XB,2004,Shooter,Buena Vista  ,Climax Group  ,,,0.04,0.01,,0.0,0.06
16715,Steins;Gate: Darling of Loving Vows,PSP,2012,Visual Novel,5pb  ,5pb. Inc.  ,,,,,0.06,,0.06
16716,Gegege no Kitarou: Youkai Daigekisen,DS,2008,Action,Namco Bandai  ,Bandai Namco Games  ,,,,,0.06,,0.06
16717,Dig Dug: Digging Strike,DS,2005,Puzzle,Namco  ,Namco  ,,,0.05,0.0,,0.0,0.06
16718,Emblem of Gundam,DS,2008,Strategy,Namco Bandai  ,Bandai Namco Games  ,,,,,0.06,,0.06
16719,Disgaea 1 Complete,NS,2018,Role-Playing,NIS America  ,Nippon Ichi Software  ,8.0,,0.03,0.01,0.01,0.0,0.06
16720,The Fast and the Furious,PS2,2006,Racing,Namco Bandai  ,Eutechnyx  ,,,0.03,0.02,,0.01,0.06
16721,SpongeBob SquarePants: Plankton's Robotic Revenge,WiiU,2013,Platform,Activision  ,Behaviour Interactive  ,,,,0.05,,0.0,0.06
16722,Tokyo Ghoul: Jail,PSV,2015,Role-Playing,Namco Bandai Games  ,Bandai Namco Games  ,,,,,0.06,,0.06
16723,G-Police: Weapons of Justice,PS,1999,Action,Sony Computer Entertainment  ,Psygnosis  ,,,0.03,0.02,,0.0,0.06
16724,All Kamen Rider: Rider Generation 2,PSP,2012,Fighting,Namco Bandai Games  ,Bandai Namco Games  ,,,,,0.06,,0.06
16725,Azure Striker Gunvolt: Striker Pack,NS,2017,Action,Nighthawk Interactive  ,Inti Creates  ,,,0.03,0.01,0.01,0.0,0.06
16726,Killing Zone,PS,1996,Fighting,Acclaim Entertainment  ,Naxat Soft  ,,,0.03,0.02,,0.0,0.06
16727,Policenauts,3DO,1995,Adventure,Konami  ,Konami  ,,,,,0.06,,0.06
16728,Spintires: MudRunner - American Wilds,NS,2018,Racing,Maximum Games  ,Saber Interactive  ,,,0.05,,,0.01,0.06
16729,Adventures of Lolo,NES,1989,Puzzle,HAL Laboratory  ,HAL Laboratory  ,,,0.06,,,,0.06
16730,Quiz! Hexagon II,DS,2010,Misc,Namco Bandai  ,Bandai Namco Games  ,,,,,0.06,,0.06
16731,Outcast: Second Contact,PS4,2017,Adventure,Maximum Games  ,Bigben Interactive  ,,,0.05,,,0.01,0.06
16732,History Channel: Battle for the Pacific,X360,2007,Shooter,Activision  ,Cauldron Ltd.  ,,,0.05,0.0,,0.0,0.06
16733,Racing Gears Advance,GBA,2005,Racing,"Orbital Media, Inc.  ","Orbital Media, Inc.  ",,,0.04,0.02,,0.0,0.06
