Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
1,Tetris,Series,1988,Puzzle,The Tetris Company  ,Alexey Pajitnov  ,,,,,,,
2,Call of Duty,Series,2003,Shooter,Activision  ,Infinity Ward  ,,,,,,,
3,Pokemon,Series,1998,Role-Playing,Nintendo  ,Game Freak  ,,,,,,,
4,Grand Theft Auto,Series,1998,Action-Adventure,Rockstar Games  ,Rockstar North  ,,,,,,,
5,Super Mario,Series,1983,Platform,Nintendo  ,Nintendo  ,,,,,,,
6,FIFA,Series,1993,Sports,EA Sports  ,Extended Play Productions (1991-1997)  ,,,,,,,
7,Minecraft,Series,2011,Sandbox,Mojang  ,Mojang  ,,,,,,,
8,Minecraft,All,2011,Action-Adventure,Mojang  ,Mojang AB  ,8.4,,,,,,
9,Grand Theft Auto V,All,2013,Action-Adventure,Rockstar Games  ,Rockstar North  ,9.7,,,,,,
10,Lego,Series,1997,Action-Adventure,Warner Bros. Interactive Entertainment  ,TT Fusion  ,,,,,,,
11,Assassin's Creed,Series,2007,Action-Adventure,Ubisoft  ,Ubisoft  ,,,,,,,
12,The Sims,Series,2000,Simulation,Electronic Arts  ,Maxis  ,,,,,,,
13,Final Fantasy,Series,1987,Role-Playing,Square  ,Square  ,,,,,,,
14,Mario Kart,Series,1992,Racing,Nintendo  ,Nintendo  ,,,,,,,
15,Resident Evil,Series,1996,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
16,The Legend of Zelda,Series,1987,Action-Adventure,Nintendo  ,Nintendo  ,,,,,,,
17,Tomb Raider,Series,1996,Action-Adventure,Eidos Interactive  ,Core Design  ,,,,,,,
18,NBA 2K,Series,1999,Sports,2K Games  ,Visual Concepts  ,,,,,,,
19,Need for Speed,Series,1994,Racing,Electronic Arts  ,EA Black Box  ,,,,,,,
20,Wii/Nintendo Sports,Series,2006,Sports,Nintendo  ,Nintendo  ,,,,,,,
21,Madden NFL,Series,1988,Sports,Electronic Arts  ,Park Place Productions  ,,,,,,,
22,Pro Evolution Soccer/eFootball,Series,1995,Sports,Konami  ,Konami  ,,,,,,,
23,Sonic the Hedgehog,Series,1991,Platform,Sega  ,Sonic Team  ,,,,,,,
24,Monster Hunter,Series,2004,Role-Playing,Capcom  ,Capcom  ,,,,,,,
25,Dragon Quest,Series,1986,Role-Playing,Square  ,ArtePiazza  ,,,,,,,
26,The Elder Scrolls,Series,1994,Role-Playing,Bethesda Softworks  ,Bethesda Softworks  ,,,,,,,
27,Red Dead,Series,2004,Action-Adventure,Rockstar Games  ,Rockstar San Diego  ,,,,,,,
28,Gran Turismo,Series,1998,Racing,Sony Interactive Entertainment  ,Polyphony Digital  ,,,,,,,
29,Borderlands,Series,2009,Shooter,2K Games  ,Gearbox Software  ,,,,,,,
30,Battlefield,Series,2002,Shooter,Electronic Arts  ,EA DICE  ,,,,,,,
31,Mortal Kombat,Series,1992,Fighting,Warner Bros. Interactive Entertainment  ,Avalanche Software  ,,,,,,,
32,Wii Sports,Wii,2006,Sports,Nintendo  ,Nintendo EAD  ,7.7,,41.36,29.02,3.77,8.51,82.65
33,Animal Crossing,Series,2002,Simulation,Nintendo  ,Nintendo  ,,,,,,,
34,Halo,Series,2001,Shooter,Microsoft Game Studios  ,Bungie  ,,,,,,,
35,Just Dance,Series,2009,Music,Ubisoft  ,Ubisoft  ,,,,,,,
36,God of War,Series,2005,Action,Sony Interactive Entertainment  ,SIE Santa Monica Studio  ,,,,,,,
37,Dragon Ball,Series,1986,Role-Playing,Bandai  ,Tose  ,,,,,,,
38,Super Smash Bros.,Series,1999,Fighting,Nintendo  ,Nintendo  ,,,,,,,
39,Mario Party,Series,1999,Party,Nintendo  ,Hudson Soft  ,,,,,,,
40,PlayerUnknown's Battlegrounds,All,2017,Shooter,PUBG Corporation  ,PUBG Corporation  ,,,,,,,
41,PUBG,Series,2017,Shooter,PUBG Corporation  ,PUBG Corporation  ,,,,,,,
42,The Witcher,Series,2007,Role-Playing,CD Projekt  ,CD Projekt Red Studio  ,,,,,,,
43,Worms,Series,1995,Strategy,Team17  ,Team17  ,,,,,,,
44,Civilization,Series,1991,Strategy,Microprose  ,Firaxis Games  ,,,,,,,
45,Harry Potter/Wizarding World,Series,2001,Action-Adventure,Electronic Arts  ,Griptonite Games  ,,,,,,,
46,WWE 2K,Series,2000,Fighting,2K Games  ,Visual Concepts  ,,,,,,,
47,Red Dead Redemption 2,All,2018,Action-Adventure,Rockstar Games  ,Rockstar Studios  ,9.8,,,,,,
48,Counter-Strike,Series,2000,Shooter,Valve  ,Valve  ,,,,,,,
49,Crash Bandicoot,Series,1996,Platform,Sony Interactive Entertainment  ,Naughty Dog  ,,,,,,,
50,Donkey Kong,Series,1981,Platform,Nintendo  ,Nintendo  ,,,,,,,
51,The Oregon Trail,Series,1971,Education,MECC  ,MECC  ,,,,,,,
52,Mario Kart 8 Deluxe,NS,2017,Racing,Nintendo  ,Nintendo EPD  ,9.3,,5.05,4.98,2.11,0.91,13.05
53,Metal Gear,Series,1987,Action-Adventure,Konami  ,Konami  ,,,,,,,
54,Star Wars: Battlefront,Series,2004,Shooter,LucasArts  ,Pandemic Studios  ,,,,,,,
55,The Elder Scrolls V: Skyrim,All,2011,Role-Playing,Bethesda Softworks  ,Bethesda Game Studios  ,9.4,,,,,,
56,Spider-Man,Series,1982,Action-Adventure,Parker Brothers  ,Parker Brothers  ,,,,,,,
57,Terraria,Series,2011,Action-Adventure,505 Games  ,Re-Logic  ,,,,,,,
58,Terraria,All,2011,Platform,Re-Logic  ,Re-Logic  ,,,,,,,
59,Tekken,Series,1994,Fighting,Namco  ,Bandai Namco Studios  ,,,,,,,
60,Street Fighter,Series,1987,Fighting,Capcom  ,Capcom  ,,,,,,,
61,Diablo,Series,1997,Role-Playing,Blizzard Entertainment  ,Blizzard North  ,,,,,,,
62,Lego Star Wars,Series,2005,Action-Adventure,Warner Bros. Interactive Entertainment  ,TT Fusion  ,,,,,,,
63,Far Cry,Series,2004,Shooter,Ubisoft  ,Ubisoft  ,,,,,,,
64,Fallout,Series,1997,Role-Playing,Bethesda Softworks  ,Interplay Entertainment  ,,,,,,,
