Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
22001,Moeru Mahjong: Moejong!,PSP,2008,Misc,Hudson Entertainment  ,Hudson Soft  ,,,,,0.01,,0.01
22002,Hidden Expedition: The Crown of Solomon,PC,2014,Adventure,Focus Multimedia  ,Big Fish Games  ,,,,0.01,,0.0,0.01
22003,Nancy Drew: Message in a Haunted Mansion,GBA,2001,Adventure,DreamCatcher Interactive  ,Handheld Games  ,,,0.0,0.0,,0.0,0.01
22004,Tokeijikake no Ley Line: Kagerou ni Samayou Majo,PSV,2017,Adventure,Dramatic Create  ,Dramatic Create  ,,,,,0.01,,0.01
22005,My Hero: Firefighter,DS,2009,Simulation,Majesco  ,Game-life / Mad Monkey Studio  ,,,0.0,0.0,,0.0,0.01
22006,Dr. Sudoku,GBA,2006,Puzzle,Mastiff  ,Success  ,6.7,,0.0,0.0,,0.0,0.01
22007,Monochrome Fighter: Cross Road,PS2,2008,Adventure,5pb  ,Genterprise  ,,,,,0.01,,0.01
22008,Chainz Galaxy,DS,N/A,Puzzle,Jack of All Games  ,Jack of All Games  ,,,,0.0,,0.0,0.01
22009,Simple 2000 Series Wii Vol. 2: The Party Game,Wii,2008,Misc,D3 Publisher  ,Tamsoft  ,,,,,0.01,,0.01
22010,Steel Horizon,PSP,2007,Strategy,Konami  ,Climax Group  ,,,0.01,,,0.0,0.01
22011,ATV Renegades,XOne,2017,Racing,Nighthawk Interactive  ,Nighthawk Interactive  ,,,0.0,,,0.0,0.01
22012,Enkeltbillet,PSP,2014,Adventure,Idea Factory  ,Otomate  ,,,,,0.01,,0.01
22013,Zettai Karen Children DS: Dai-4 no Children,DS,2008,Role-Playing,Konami  ,Konami  ,,,,,0.01,,0.01
22014,Amatsutsumi,PSV,2018,Visual Novel,Prototype  ,Prototype  ,,,,,0.01,,0.01
22015,Honki de Manabu: LEC de Goukaku - DS Takuchi Tatemono Torihiki Shuninsha,DS,2009,Misc,Square Enix  ,Square Enix  ,,,,,0.01,,0.01
22016,Brian Lara 2007 Pressure Play,PSP,2007,Sports,Codemasters  ,Codemasters  ,,,,0.0,,0.0,0.01
22017,Calvin Tucker's Redneck Jamboree,PC,2009,Misc,Zoo Games  ,Humagade  ,,,,0.0,,0.0,0.01
